Date,S&P500,CAPE
01/01/1881,6.19,18.47
01/02/1881,6.17,18.15
01/03/1881,6.24,18.27
01/04/1881,6.22,17.95
01/05/1881,6.50,18.87
01/06/1881,6.58,19.03
01/07/1881,6.35,18.12
01/08/1881,6.20,17.29
01/09/1881,6.25,16.72
01/10/1881,6.15,16.26
01/11/1881,6.19,16.48
01/12/1881,6.01,15.96
01/01/1882,5.92,15.68
01/02/1882,5.79,15.15
01/03/1882,5.78,15.09
01/04/1882,5.78,14.92
01/05/1882,5.71,14.57
01/06/1882,5.68,14.33
01/07/1882,6.00,15.24
01/08/1882,6.18,15.53
01/09/1882,6.24,16.08
01/10/1882,6.07,15.76
01/11/1882,5.81,15.19
01/12/1882,5.84,15.38
01/01/1883,5.81,15.27
01/02/1883,5.68,14.76
01/03/1883,5.75,15.05
01/04/1883,5.87,15.48
01/05/1883,5.77,15.34
01/06/1883,5.82,15.90
01/07/1883,5.73,15.95
01/08/1883,5.47,15.20
01/09/1883,5.53,15.49
01/10/1883,5.38,15.05
01/11/1883,5.46,15.41
01/12/1883,5.34,14.90
01/01/1884,5.18,14.43
01/02/1884,5.32,14.81
01/03/1884,5.30,14.74
01/04/1884,5.06,14.35
01/05/1884,4.65,13.47
01/06/1884,4.46,12.91
01/07/1884,4.46,13.04
01/08/1884,4.74,13.86
01/09/1884,4.59,13.57
01/10/1884,4.44,13.27
01/11/1884,4.35,13.30
01/12/1884,4.34,13.43
01/01/1885,4.24,13.13
01/02/1885,4.37,13.38
01/03/1885,4.38,13.73
01/04/1885,4.37,13.55
01/05/1885,4.32,13.71
01/06/1885,4.30,13.98
01/07/1885,4.46,14.33
01/08/1885,4.71,15.13
01/09/1885,4.65,15.12
01/10/1885,4.92,15.99
01/11/1885,5.24,16.82
01/12/1885,5.20,16.30
01/01/1886,5.20,16.69
01/02/1886,5.30,17.01
01/03/1886,5.19,16.84
01/04/1886,5.12,16.80
01/05/1886,5.02,16.86
01/06/1886,5.25,17.83
01/07/1886,5.33,17.85
01/08/1886,5.37,17.72
01/09/1886,5.51,18.15
01/10/1886,5.65,18.56
01/11/1886,5.79,18.97
01/12/1886,5.64,18.19
01/01/1887,5.58,17.51
01/02/1887,5.54,17.13
01/03/1887,5.67,17.47
01/04/1887,5.80,17.82
01/05/1887,5.90,18.08
01/06/1887,5.73,17.71
01/07/1887,5.59,17.43
01/08/1887,5.45,16.74
01/09/1887,5.38,16.68
01/10/1887,5.20,15.88
01/11/1887,5.30,15.95
01/12/1887,5.27,15.46
01/01/1888,5.31,15.36
01/02/1888,5.28,15.42
01/03/1888,5.08,14.81
01/04/1888,5.10,15.02
01/05/1888,5.17,15.39
01/06/1888,5.01,15.08
01/07/1888,5.14,15.28
01/08/1888,5.25,15.60
01/09/1888,5.38,15.99
01/10/1888,5.35,15.72
01/11/1888,5.24,15.22
01/12/1888,5.14,14.95
01/01/1889,5.24,15.80
01/02/1889,5.30,16.19
01/03/1889,5.19,16.07
01/04/1889,5.18,16.05
01/05/1889,5.32,16.92
01/06/1889,5.41,17.22
01/07/1889,5.30,16.89
01/08/1889,5.37,17.13
01/09/1889,5.50,17.35
01/10/1889,5.40,17.05
01/11/1889,5.35,16.91
01/12/1889,5.32,16.61
01/01/1890,5.38,17.22
01/02/1890,5.32,17.03
01/03/1890,5.28,16.90
01/04/1890,5.39,17.26
01/05/1890,5.62,17.79
01/06/1890,5.58,17.68
01/07/1890,5.54,17.59
01/08/1890,5.41,16.60
01/09/1890,5.32,16.17
01/10/1890,5.08,15.48
01/11/1890,4.71,14.75
01/12/1890,4.60,14.44
01/01/1891,4.84,15.43
01/02/1891,4.90,15.48
01/03/1891,4.81,15.05
01/04/1891,4.97,15.41
01/05/1891,4.95,15.57
01/06/1891,4.85,15.66
01/07/1891,4.77,15.62
01/08/1891,4.93,16.16
01/09/1891,5.33,17.71
01/10/1891,5.33,17.72
01/11/1891,5.25,17.67
01/12/1891,5.41,18.21
01/01/1892,5.51,19.02
01/02/1892,5.52,19.04
01/03/1892,5.58,19.74
01/04/1892,5.57,19.94
01/05/1892,5.57,19.91
01/06/1892,5.54,19.77
01/07/1892,5.54,19.21
01/08/1892,5.62,19.20
01/09/1892,5.48,18.69
01/10/1892,5.59,19.04
01/11/1892,5.57,18.46
01/12/1892,5.51,18.01
01/01/1893,5.61,17.66
01/02/1893,5.51,17.13
01/03/1893,5.31,16.90
01/04/1893,5.31,17.10
01/05/1893,4.84,15.78
01/06/1893,4.61,15.42
01/07/1893,4.18,14.35
01/08/1893,4.08,14.59
01/09/1893,4.37,15.01
01/10/1893,4.50,15.27
01/11/1893,4.57,15.94
01/12/1893,4.41,15.61
01/01/1894,4.32,15.74
01/02/1894,4.38,16.20
01/03/1894,4.51,17.19
01/04/1894,4.57,17.43
01/05/1894,4.40,16.81
01/06/1894,4.34,16.61
01/07/1894,4.25,16.29
01/08/1894,4.41,16.46
01/09/1894,4.48,16.52
01/10/1894,4.34,16.50
01/11/1894,4.34,16.54
01/12/1894,4.30,16.67
01/01/1895,4.25,16.52
01/02/1895,4.19,16.33
01/03/1895,4.19,16.36
01/04/1895,4.37,16.39
01/05/1895,4.61,17.08
01/06/1895,4.70,17.21
01/07/1895,4.72,17.55
01/08/1895,4.79,18.07
01/09/1895,4.82,18.20
01/10/1895,4.75,17.94
01/11/1895,4.59,17.34
01/12/1895,4.32,16.55
01/01/1896,4.27,16.58
01/02/1896,4.45,17.52
01/03/1896,4.38,17.23
01/04/1896,4.42,17.64
01/05/1896,4.40,17.83
01/06/1896,4.32,17.78
01/07/1896,4.04,16.64
01/08/1896,3.81,15.70
01/09/1896,4.01,16.54
01/10/1896,4.10,16.44
01/11/1896,4.38,17.09
01/12/1896,4.22,16.50
01/01/1897,4.22,17.03
01/02/1897,4.18,16.89
01/03/1897,4.19,16.96
01/04/1897,4.06,16.70
01/05/1897,4.08,17.05
01/06/1897,4.27,17.85
01/07/1897,4.46,18.65
01/08/1897,4.75,19.01
